subgenre_id,subgenre_name,genre_id
KZazBEonSMnZfZ7vA1l,Acid Jazz,KnvZfZ7vAvF
KZazBEonSMnZfZ7vAJv,Acid Techno,KnvZfZ7vAvF
KZazBEonSMnZfZ7vAJe,Ambient,KnvZfZ7vAvF
KZazBEonSMnZfZ7vAJd,Ambient Breakbeat,KnvZfZ7vAvF
KZazBEonSMnZfZ7vAJ7,Ambient Electronica,KnvZfZ7vAvF
KZazBEonSMnZfZ7vAJA,Ambient House,KnvZfZ7vAvF
KZazBEonSMnZfZ7vAJk,Ambient Techno,KnvZfZ7vAvF
KZazBEonSMnZfZ7vAJ6,Avant-Garde,KnvZfZ7vAvF
KZazBEonSMnZfZ7vAJF,Big Beat,KnvZfZ7vAvF
KZazBEonSMnZfZ7vAJa,Broken Beat,KnvZfZ7vAvF
KZazBEonSMnZfZ7vaan,Chillwave,KnvZfZ7vAvF
KZazBEonSMnZfZ7vAJ1,Club Dance,KnvZfZ7vAvF
KZazBEonSMnZfZ7vaak,Dance Band,KnvZfZ7vAvF
KZazBEonSMnZfZ7vAJJ,Dance Pop,KnvZfZ7vAvF
KZazBEonSMnZfZ7vAJE,Dance-Rock,KnvZfZ7vAvF
KZazBEonSMnZfZ7vA1E,Dance/Electronic,KnvZfZ7vAvF
KZazBEonSMnZfZ7vAJI,Dark Ambient,KnvZfZ7vAvF
KZazBEonSMnZfZ7vAJt,Detroit Techno,KnvZfZ7vAvF
KZazBEonSMnZfZ7vAJn,Disco,KnvZfZ7vAvF
KZazBEonSMnZfZ7vaa6,Disco Polo,KnvZfZ7vAvF
KZazBEonSMnZfZ7vAJl,Downbeat,KnvZfZ7vAvF
KZazBEonSMnZfZ7vAEv,Downtempo,KnvZfZ7vAvF
KZazBEonSMnZfZ7vAEe,Drill'n'bass,KnvZfZ7vAvF
KZazBEonSMnZfZ7vAEd,Drum 'n' Bass,KnvZfZ7vAvF
KZazBEonSMnZfZ7vAE7,Dub Electronica,KnvZfZ7vAvF
KZazBEonSMnZfZ7vaal,Dubstep,KnvZfZ7vAvF
KZazBEonSMnZfZ7vAEA,Electro-Jazz,KnvZfZ7vAvF
KZazBEonSMnZfZ7vAEk,Electro-Techno,KnvZfZ7vAvF
KZazBEonSMnZfZ7vAE6,Electronica Mainstream,KnvZfZ7vAvF
KZazBEonSMnZfZ7vAEF,Euro-Dance,KnvZfZ7vAvF
KZazBEonSMnZfZ7va1v,Experimental,KnvZfZ7vAvF
KZazBEonSMnZfZ7vAEa,Experimental Ambient,KnvZfZ7vAvF
KZazBEonSMnZfZ7vAE1,Experimental Dub,KnvZfZ7vAvF
KZazBEonSMnZfZ7vAEJ,Experimental Electro,KnvZfZ7vAvF
KZazBEonSMnZfZ7vAEE,Experimental Jungle,KnvZfZ7vAvF
KZazBEonSMnZfZ7vAEI,Experimental Techno,KnvZfZ7vAvF
KZazBEonSMnZfZ7vAEt,Freestyle,KnvZfZ7vAvF
KZazBEonSMnZfZ7vAEn,Funky Breaks,KnvZfZ7vAvF
KZazBEonSMnZfZ7vAEl,Gabba,KnvZfZ7vAvF
KZazBEonSMnZfZ7vAIv,Glitch,KnvZfZ7vAvF
KZazBEonSMnZfZ7vAIe,Goa Trance,KnvZfZ7vAvF
KZazBEonSMnZfZ7vAId,Grime,KnvZfZ7vAvF
KZazBEonSMnZfZ7vAI7,Happy Hardcore,KnvZfZ7vAvF
KZazBEonSMnZfZ7vAIA,Hardcore Techno,KnvZfZ7vAvF
KZazBEonSMnZfZ7vAIk,Hi-NRG,KnvZfZ7vAvF
KZazBEonSMnZfZ7vAI6,House,KnvZfZ7vAvF
KZazBEonSMnZfZ7vAIF,Illbient,KnvZfZ7vAvF
KZazBEonSMnZfZ7vAIa,Industrial Drum'n'Bass,KnvZfZ7vAvF
KZazBEonSMnZfZ7vAI1,Intelligent Dance Music,KnvZfZ7vAvF
KZazBEonSMnZfZ7vAIJ,Jazz-House,KnvZfZ7vAvF
KZazBEonSMnZfZ7vAIE,Jungle/Drum 'n' Bass,KnvZfZ7vAvF
KZazBEonSMnZfZ7vAII,Latin Electronica,KnvZfZ7vAvF
KZazBEonSMnZfZ7vAIt,Left-Field House,KnvZfZ7vAvF
KZazBEonSMnZfZ7vAIn,Microhouse,KnvZfZ7vAvF
KZazBEonSMnZfZ7vAIl,Microsound,KnvZfZ7vAvF
KZazBEonSMnZfZ7vAtv,Minimal Techno,KnvZfZ7vAvF
KZazBEonSMnZfZ7vAte,Neo-Electro,KnvZfZ7vAvF
KZazBEonSMnZfZ7vAtd,Newbeat,KnvZfZ7vAvF
KZazBEonSMnZfZ7vAt7,Nu Breaks,KnvZfZ7vAvF
KZazBEonSMnZfZ7vAtA,Post-Disco,KnvZfZ7vAvF
KZazBEonSMnZfZ7vAtk,Progressive House,KnvZfZ7vAvF
KZazBEonSMnZfZ7vAt6,Progressive Trance,KnvZfZ7vAvF
KZazBEonSMnZfZ7vAtF,Rave,KnvZfZ7vAvF
KZazBEonSMnZfZ7va1e,Synthwave,KnvZfZ7vAvF
KZazBEonSMnZfZ7vAta,Tech-House,KnvZfZ7vAvF
KZazBEonSMnZfZ7vAt1,Techno,KnvZfZ7vAvF
KZazBEonSMnZfZ7vAtJ,Techno Bass,KnvZfZ7vAvF
KZazBEonSMnZfZ7vAtE,Techno-Dub,KnvZfZ7vAvF
KZazBEonSMnZfZ7vAtI,Techno-House,KnvZfZ7vAvF
KZazBEonSMnZfZ7vAtt,Trance,KnvZfZ7vAvF
KZazBEonSMnZfZ7va1d,Trap,KnvZfZ7vAvF
KZazBEonSMnZfZ7vAtn,Tribal-House,KnvZfZ7vAvF
KZazBEonSMnZfZ7vAtl,Trip Hop,KnvZfZ7vAvF
KZazBEonSMnZfZ7vAnv,Turntablists,KnvZfZ7vAvF
KZazBEonSMnZfZ7vAne,U.K. Garage,KnvZfZ7vAvF
KZazBEonSMnZfZ7va17,Vaporwave,KnvZfZ7vAvF
KZazBEonSMnZfZ7va1A,Witch House,KnvZfZ7vAvF
KZazBEonSMnZfZ7va1k,Witchstep,KnvZfZ7vAvF
KZazBEonSMnZfZ7vAnd,World Dance,KnvZfZ7vAvF
KZazBEonSMnZfZ7vAnA,A Cappella,KnvZfZ7vAva
KZazBEonSMnZfZ7vAnk,Acadian,KnvZfZ7vAva
KZazBEonSMnZfZ7vAn6,Acid Folk,KnvZfZ7vAva
KZazBEonSMnZfZ7vAnF,Alternative Folk,KnvZfZ7vAva
KZazBEonSMnZfZ7vAna,Americana,KnvZfZ7vAva
KZazBEonSMnZfZ7vAn1,Andean Folk,KnvZfZ7vAva
KZazBEonSMnZfZ7vAnJ,Anti-Folk,KnvZfZ7vAva
KZazBEonSMnZfZ7vAnE,Appalachian Folk,KnvZfZ7vAva
KZazBEonSMnZfZ7vAnI,British Folk,KnvZfZ7vAva
KZazBEonSMnZfZ7vAnt,Bulgarian Folk,KnvZfZ7vAva
KZazBEonSMnZfZ7vAnn,Celtic Folk,KnvZfZ7vAva
KZazBEonSMnZfZ7vAnl,Central European Folk,KnvZfZ7vAva
KZazBEonSMnZfZ7vAlv,Contemporary Folk,KnvZfZ7vAva
KZazBEonSMnZfZ7vAle,Creole,KnvZfZ7vAva
KZazBEonSMnZfZ7vAld,Field Recordings,KnvZfZ7vAva
KZazBEonSMnZfZ7vAn7,Folk,KnvZfZ7vAva
KZazBEonSMnZfZ7vAl7,Folk Jazz,KnvZfZ7vAva
KZazBEonSMnZfZ7va16,Folk Punk,KnvZfZ7vAva
KZazBEonSMnZfZ7vAlA,Folk Revival,KnvZfZ7vAva
KZazBEonSMnZfZ7vAlk,Folk Rock,KnvZfZ7vAva
KZazBEonSMnZfZ7vAl6,Folk-Blues,KnvZfZ7vAva
KZazBEonSMnZfZ7vAlF,Folksongs,KnvZfZ7vAva
