Event ID,event_name,venue_id,event_url,image_url,startDate,startTime,genre_id,subgenre_id,min_price,max_price
vvG1IZ9fKkUwUj,Shahram Shabpareh,KovZ917AJue,https://www.ticketmaster.com/shahram-shabpareh-inglewood-california-07-08-2023/event/0A005D44C6DB2D9C,https://s1.ticketm.net/dam/a/ebf/2a53b1f9-184d-40e9-a2fe-d0a675a83ebf_1810611_TABLET_LANDSCAPE_16_9.jpg,2023-07-08,20:00:00,KnvZfZ7vAeF,KZazBEonSMnZfZ7v6Jt,55.0,250.0
Z7r9jZ1Ad094V,ELHAE,ZFr9jZeFAd,https://www.ticketmaster.com/event/Z7r9jZ1Ad094V,https://s1.ticketm.net/dam/a/bae/51a58986-0347-4894-aaa5-41d466f28bae_407161_CUSTOM.jpg,2023-07-08,20:30:00,KnvZfZ7vAvl,KZazBEonSMnZfZ7vk1I,,
Z7r9jZ1Ad-80d,Wallice,Z6r9jZkv7e,https://www.ticketmaster.com/event/Z7r9jZ1Ad-80d,https://s1.ticketm.net/dam/c/060/c5c08e7a-9912-456c-a060-2758be94e060_105881_RECOMENDATION_16_9.jpg,2023-07-08,21:00:00,KnvZfZ7vAvl,KZazBEonSMnZfZ7vk1I,,
Z7r9jZ1Ad-NCk,The Rembrandts,ZFr9jZAFek,https://www.ticketmaster.com/event/Z7r9jZ1Ad-NCk,https://s1.ticketm.net/dam/c/060/c5c08e7a-9912-456c-a060-2758be94e060_105881_RECOMENDATION_16_9.jpg,2023-07-08,21:00:00,KnvZfZ7vAvl,KZazBEonSMnZfZ7vk1I,,
Z7r9jZ1Ad0N-g,The Buttertones,Z7r9jZa7OK,https://www.ticketmaster.com/event/Z7r9jZ1Ad0N-g,https://s1.ticketm.net/dam/a/31e/f5e7f9fe-8ff0-4387-9168-3b22abca331e_RETINA_PORTRAIT_3_2.jpg,2023-07-08,21:00:00,KnvZfZ7vAvl,KZazBEonSMnZfZ7vk1I,,
vvG10Z9iMmsNVQ,Echo Flex: A 2000s Hip Hop Party - 21+,KovZpa6OCe,https://concerts.livenation.com/echo-flex-a-2000s-hip-hop-los-angeles-california-07-08-2023/event/09005ECDEEC63D1A,https://s1.ticketm.net/dam/c/80b/f3cd8d24-c3ae-4fa0-b4bc-1ba99f9b380b_106091_RETINA_PORTRAIT_3_2.jpg,2023-07-08,21:00:00,KnvZfZ7vAv1,KZazBEonSMnZfZ7vaa1,10.0,10.0
vvG1iZ9I9daowd,"Cool is dead, let's just have fun! Shrek Themed Dance Rave (18+)",KovZpZAEA6FA,https://concerts.livenation.com/cool-is-dead-lets-just-have-riverside-california-07-08-2023/event/0B005E85C3251C83,https://s1.ticketm.net/dam/a/032/92295cd8-69d8-4699-ada5-3f02fc494032_1755601_RETINA_PORTRAIT_3_2.jpg,2023-07-08,21:00:00,KnvZfZ7vAvF,KZazBEonSMnZfZ7va1k,17.0,27.0
vvG10Z9iXLToR4,Throwback Karaoke,KovZ917AJ5H,https://www.ticketmaster.com/throwback-karaoke-los-angeles-california-07-08-2023/event/09005ECF9FFD1BD5,https://s1.ticketm.net/dam/e/a04/7810c3b8-8b74-4bd6-8dbd-63040339ba04_EVENT_DETAIL_PAGE_16_9.jpg,2023-07-08,21:30:00,KnvZfZ7vAeA,KZazBEonSMnZfZ7v6dt,12.0,12.0
vvG10Z9ixL7vJv,Queer Techno Night - 21+ Only,KovZpZAJ6daA,https://www.ticketmaster.com/queer-techno-night-21-only-los-angeles-california-07-08-2023/event/09005EC89F101981,https://s1.ticketm.net/dam/c/df8/81eadad8-4449-412e-a2b1-3d8bbb78edf8_106181_RETINA_PORTRAIT_16_9.jpg,2023-07-08,22:00:00,KnvZfZ7vAvF,KZazBEonSMnZfZ7vAJ1,10.0,10.0
vvG10Z9ldYm1lk,"ABRA, bbymutha, Alemeda, Shy Lennox and more",KovZpZAJvttA,https://concerts.livenation.com/abra-bbymutha-alemeda-shy-lennox-and-los-angeles-california-07-09-2023/event/09005EB0F0B8AAC6,https://s1.ticketm.net/dam/c/4f2/0109888a-61b5-4525-8432-b026ef04f4f2_105631_TABLET_LANDSCAPE_LARGE_16_9.jpg,2023-07-09,18:00:00,KnvZfZ7vAev,KZazBEonSMnZfZ7vk1t,37.0,62.5
Z7r9jZ1Ad--7S,The Green,Z7r9jZa7OK,https://www.ticketmaster.com/event/Z7r9jZ1Ad--7S,https://s1.ticketm.net/dam/a/2df/ccca78ab-14db-4ad8-ad1e-12c5a6eb32df_1575501_ARTIST_PAGE_3_2.jpg,2023-07-09,19:00:00,KnvZfZ7vAvl,KZazBEonSMnZfZ7vk1I,,
vvG10Z9ESPXA9G,Late Night Drive Home: Opening A Door Tour,KovZ917AGff,https://concerts.livenation.com/late-night-drive-home-opening-a-santa-ana-california-07-09-2023/event/09005E7CE5F855CC,https://s1.ticketm.net/dam/a/95f/5abac905-67d3-49e8-8363-15a85f32a95f_RETINA_LANDSCAPE_16_9.jpg,2023-07-09,19:00:00,KnvZfZ7vAeA,KZazBEonSMnZfZ7v6F1,15.0,15.0
vvG10Z9ipXi3hN,Asterism,KovZpZAF6JkA,https://concerts.livenation.com/asterism-santa-ana-california-07-09-2023/event/09005EC5BEB126E3,https://s1.ticketm.net/dam/a/6a6/86b5a128-a4ad-4846-8814-65dba06626a6_RECOMENDATION_16_9.jpg,2023-07-09,19:00:00,KnvZfZ7vAvt,KZazBEonSMnZfZ7vaJ6,39.5,39.5
vvG10Z9iTrlV6Q,"IN YOUR POCKET PRESENTS: Glixen, Soft Blue Shimmer, Kraus &Venus Hides",KovZ917AJ5H,https://www.ticketmaster.com/in-your-pocket-presents-glixen-soft-los-angeles-california-07-09-2023/event/09005ECFDEAF41DA,https://s1.ticketm.net/dam/e/e91/0f50f8b6-37e9-4a78-96b4-5e704324ee91_CUSTOM.jpg,2023-07-09,19:30:00,KnvZfZ7vAeA,KZazBEonSMnZfZ7v6dt,12.0,12.0
vvG10Z9npDtM7A,CANCELED - Coot Corleone with Lambo4oe,KovZ917A967,https://concerts.livenation.com/canceled-coot-corleone-with-lambo4oe-los-angeles-california-07-09-2023/event/09005EA5BBA77105,https://s1.ticketm.net/dam/a/234/70e10b28-af93-4d2f-b9ab-aa15a0799234_EVENT_DETAIL_PAGE_16_9.jpg,2023-07-09,19:30:00,KnvZfZ7vAv1,KZazBEonSMnZfZ7vaa1,22.0,22.0
Z7r9jZ1AdjPuE,Happy Together Tour,ZFr9jZea1v,https://www.ticketmaster.com/event/Z7r9jZ1AdjPuE,https://s1.ticketm.net/dam/a/94b/b9952f5d-cf31-41d0-bd1f-7ed01bee094b_589291_TABLET_LANDSCAPE_3_2.jpg,2023-07-09,20:00:00,KnvZfZ7vAeA,KZazBEonSMnZfZ7v6A7,,
vvG10Z9PftCdbH,Remember Sports with Goon,KovZ917A967,https://concerts.livenation.com/remember-sports-with-goon-los-angeles-california-07-10-2023/event/09005E552938363C,https://s1.ticketm.net/dam/a/7a3/7935cdd4-078f-4ab5-b014-4896a9b3a7a3_TABLET_LANDSCAPE_16_9.jpg,2023-07-10,18:30:00,KnvZfZ7vAeA,KZazBEonSMnZfZ7v6dt,17.0,17.0
Z7r9jZ1Ad-0-K,Arrows In Action,ZFr9jZeA6a,https://www.ticketmaster.com/event/Z7r9jZ1Ad-0-K,https://s1.ticketm.net/dam/c/060/c5c08e7a-9912-456c-a060-2758be94e060_105881_RECOMENDATION_16_9.jpg,2023-07-10,19:30:00,KnvZfZ7vAvl,KZazBEonSMnZfZ7vk1I,,
vvG10Z9iEFxKhq,"Redacted Residency: Roger Hallaway, Sahara Grim, Britta Raci & VI6NNA",KovZ917AJ5H,https://www.ticketmaster.com/redacted-residency-roger-hallaway-sahara-grim-los-angeles-california-07-10-2023/event/09005EC9C88936DD,https://s1.ticketm.net/dam/e/94d/e8ac5b3a-d2d1-47fa-b122-abf120dce94d_ARTIST_PAGE_3_2.jpg,2023-07-10,20:00:00,KnvZfZ7vAeA,KZazBEonSMnZfZ7v6dt,12.0,12.0
vvG10Z9iIx8kEL,Neil Young,KovZpa2Hxe,https://www.ticketmaster.com/neil-young-los-angeles-california-07-10-2023/event/09005ECA224069DF,https://s1.ticketm.net/dam/a/87c/54757ba1-b60a-40d6-aefb-c889f719a87c_SOURCE,2023-07-10,20:00:00,KnvZfZ7vAeA,KZazBEonSMnZfZ7v6F1,79.0,299.0
vvG10Z9IOZW0xN,Babytron,KovZpZAF6JkA,https://concerts.livenation.com/babytron-santa-ana-california-07-11-2023/event/09005E8800F648A3,https://s1.ticketm.net/dam/a/306/65daed5a-2793-4c98-bcb3-416032cd4306_1601811_TABLET_LANDSCAPE_LARGE_16_9.jpg,2023-07-11,19:00:00,KnvZfZ7vAv1,KZazBEonSMnZfZ7vaa1,25.0,25.0
